pair_id,psa_id,Domain,source_lang,target_lang,source_text,target_text,method,confidence,verified,auto_qc_pass,Source,Metadata,split
opus_en_sw_000895,,General,en,sw,"The index measured, among other things, the delivery of public goods and services by government.","Orodha hiyo ilipima, pamoja na mambo mengine, utoaji vifaa na huduma za jamii unaofanywa na serikali.",external_opus,1.0,false,true,OPUS-GlobalVoices/v2018q4/en-sw,"{""corpus"": ""opus_globalvoices"", ""length_ratio"": 1.067, ""glossary_preservation"": 1.0, ""psaish_score"": 1, ""silver"": true, ""human_reviewed"": false, ""auto_qc"": {""auto_qc_pass"": true, ""auto_qc_reasons"": [], ""length_ratio"": 1.067, ""glossary_preservation"": 1.0, ""tgt_lang_detected"": ""sw"", ""confidence"": 1.0}, ""from_file"": ""en_sw_pairs.csv""}",train
opus_en_sw_002394,,General,en,sw,"The protest, which took place on November 26, called for the abolishing of military trials for civilians in the new constitution which Egypt is to vote on later this month .","Maandamano, ambayo yalifanyika Novemba 26, yakitoa wito kwa ajili ya kusitishwa kwa uendeshaji wa mashitaka ya kijeshi kwa raia wa kawaida katika katiba mpya ambayo wananchi wa Misri wataipigia kura baadaye mwezi huu .",external_opus,1.0,false,true,OPUS-GlobalVoices/v2018q4/en-sw,"{""corpus"": ""opus_globalvoices"", ""length_ratio"": 1.097, ""glossary_preservation"": 1.0, ""psaish_score"": 1, ""silver"": true, ""human_reviewed"": false, ""auto_qc"": {""auto_qc_pass"": true, ""auto_qc_reasons"": [], ""length_ratio"": 1.097, ""glossary_preservation"": 1.0, ""tgt_lang_detected"": ""sw"", ""confidence"": 1.0}, ""from_file"": ""en_sw_pairs.csv""}",train
opus_en_sw_002331,,General,en,sw,"UNICEF urges the Government, pro- and anti-government protest leaders and all parents to ensure children do not enter protest sites and are kept well away from all protest areas.","UNICEF inataka Serikali, na viongozi wa maandamano dhidi ya serikali na wazazi wote kuhakikisha kuwa watoto hawaingii katika maeneo ya maandamano na kutunzwa vizuri mbali na maeneo yote ya maandamano..",external_opus,1.0,false,true,OPUS-GlobalVoices/v2018q4/en-sw,"{""corpus"": ""opus_globalvoices"", ""length_ratio"": 1.034, ""glossary_preservation"": 1.0, ""psaish_score"": 1, ""silver"": true, ""human_reviewed"": false, ""auto_qc"": {""auto_qc_pass"": true, ""auto_qc_reasons"": [], ""length_ratio"": 1.034, ""glossary_preservation"": 1.0, ""tgt_lang_detected"": ""sw"", ""confidence"": 1.0}, ""from_file"": ""en_sw_pairs.csv""}",train
opus_en_sw_000317,,General,en,sw,"Bloggers must fill out official regulatory forms and avoid publishing prohibited content including nudity, hate speech, explicit sex acts, extreme violence, ""content that causes annoyance"", fake news, and ""bad language"" among other restrictions.","Wanablogu wanalazimika kujaza fomu rasmi za kutoa huduma na kutakiwa kuepuka kuchapisha maudhui yaliyokatazwa ikiwa ni pamoja na picha za uchi, matamshi ya chuki, picha za ngono, vurugu, ""madhui yanayosababisha maudhi"", habari za uongo na, ""lugha chafu"" miongoni mwa makatazo mengine.",external_opus,1.0,false,true,OPUS-GlobalVoices/v2018q4/en-sw,"{""corpus"": ""opus_globalvoices"", ""length_ratio"": 1.242, ""glossary_preservation"": 1.0, ""psaish_score"": 2, ""silver"": true, ""human_reviewed"": false, ""auto_qc"": {""auto_qc_pass"": true, ""auto_qc_reasons"": [], ""length_ratio"": 1.242, ""glossary_preservation"": 1.0, ""tgt_lang_detected"": ""sw"", ""confidence"": 1.0}, ""from_file"": ""en_sw_pairs.csv""}",train
opus_en_sw_002036,,General,en,sw,"Today, five months after the floods, we do not have a food crisis.","Leo hii, miezi mitano baada ya mafuriko, hatuna ukosefu wa chakula.",external_opus,1.0,false,true,OPUS-GlobalVoices/v2018q4/en-sw,"{""corpus"": ""opus_globalvoices"", ""length_ratio"": 0.846, ""glossary_preservation"": 1.0, ""psaish_score"": 1, ""silver"": true, ""human_reviewed"": false, ""auto_qc"": {""auto_qc_pass"": true, ""auto_qc_reasons"": [], ""length_ratio"": 0.846, ""glossary_preservation"": 1.0, ""tgt_lang_detected"": ""sw"", ""confidence"": 1.0}, ""from_file"": ""en_sw_pairs.csv""}",train
opus_en_sw_000532,,General,en,sw,"And it was emotional. Even the Government Ministers were shedding tears, remembering their experiences and lost loved ones.","Na kwa kweli lilikuwa tukio la kuamsha hisia kali kwani hata mawaziri wa serikali waliokuwepo walitiririkwa na machozi, wakikumbuka yaliyotokea kipindi hicho na hasa kwa kuwapoteza watu waliowapenda.",external_opus,1.0,false,true,OPUS-GlobalVoices/v2018q4/en-sw,"{""corpus"": ""opus_globalvoices"", ""length_ratio"": 1.556, ""glossary_preservation"": 1.0, ""psaish_score"": 1, ""silver"": true, ""human_reviewed"": false, ""auto_qc"": {""auto_qc_pass"": true, ""auto_qc_reasons"": [], ""length_ratio"": 1.556, ""glossary_preservation"": 1.0, ""tgt_lang_detected"": ""sw"", ""confidence"": 1.0}, ""from_file"": ""en_sw_pairs.csv""}",train
opus_en_sw_000799,,General,en,sw,"A keen chef, Samak’s passion for Thai food made him a regular at the fresh food markets of Bangkok and his gruff, no-nonsense approach made him a popular host of a cookery show on Thai television.","mpishi makini, shauku ya Samak kwa chakula cha kiThai ilimfanya awe maarufu kwenye masoko ya kuuza vyakula vya vibichi mjini Bangkok na ukali wake, na namna yake ya kuchukulia mambo isiyo na porojo ilimfanya awe mwongoza kipindi maarufu wa kipindi cha mapishi katika luninga za Thailand.",external_opus,1.0,false,true,OPUS-GlobalVoices/v2018q4/en-sw,"{""corpus"": ""opus_globalvoices"", ""length_ratio"": 1.278, ""glossary_preservation"": 1.0, ""psaish_score"": 1, ""silver"": true, ""human_reviewed"": false, ""auto_qc"": {""auto_qc_pass"": true, ""auto_qc_reasons"": [], ""length_ratio"": 1.278, ""glossary_preservation"": 1.0, ""tgt_lang_detected"": ""sw"", ""confidence"": 1.0}, ""from_file"": ""en_sw_pairs.csv""}",train
opus_en_sw_000059,,General,en,sw,"A report from Cornelder de Mozambique, the company that won a 25 year-long concession from the Government of Mozambique in 1998 to run the port, points to a sharp decline in the use of the port by Malawian exporters and importers.","Taarifa kutoka kwa Cornelder de Mozambique, kampuni ambayo ilipata zabuni kutoka kwa serikali ya Msumbiji mwaka 1998 ya kuendesha bandari hiyo, zinaonyesha kupungua kwa kasi kubwa katika matumizi ya waagizaji na wasafirishaji kwenda nje wa Malawi kwenye bandari hiyo.",external_opus,1.0,false,true,OPUS-GlobalVoices/v2018q4/en-sw,"{""corpus"": ""opus_globalvoices"", ""length_ratio"": 0.951, ""glossary_preservation"": 1.0, ""psaish_score"": 2, ""silver"": true, ""human_reviewed"": false, ""auto_qc"": {""auto_qc_pass"": true, ""auto_qc_reasons"": [], ""length_ratio"": 0.951, ""glossary_preservation"": 1.0, ""tgt_lang_detected"": ""sw"", ""confidence"": 1.0}, ""from_file"": ""en_sw_pairs.csv""}",train
opus_en_sw_000867,,General,en,sw,"Others are frustrated that their own domestic news media fail to report on much of the world, do it badly, or do it in a slanted manner that supports their government's worldview, and thus believe that by translating GV content into their local language they can improve their community's understanding of the world.","Wengine wanakereka na kwamba vyombo vya habari vya ndani ya nchi zao vinashindwa kuripoti juu ya sehemu nyingi za dunia, wanafanya vibaya, au wanaripoti katika namna iliyopinda ambayo inaunga mkono mtazamo wa dunia wa serikali zao, na hivyo wanaamini kuwa kwa kutafsiri maudhui ya GV katika lugha zao za nyumbani wanaweza kuboresha ufahamu wa dunia wa jamii zao.",external_opus,1.0,false,true,OPUS-GlobalVoices/v2018q4/en-sw,"{""corpus"": ""opus_globalvoices"", ""length_ratio"": 1.094, ""glossary_preservation"": 1.0, ""psaish_score"": 1, ""silver"": true, ""human_reviewed"": false, ""auto_qc"": {""auto_qc_pass"": true, ""auto_qc_reasons"": [], ""length_ratio"": 1.094, ""glossary_preservation"": 1.0, ""tgt_lang_detected"": ""sw"", ""confidence"": 1.0}, ""from_file"": ""en_sw_pairs.csv""}",train
opus_en_sw_001382,,General,en,sw,"And although the Congolese diaspora was unable to vote, they made sure to get their voices heard by the world.","Na ingawa wa-Kongo wanaoishi nje ya nchi yao hawakuwezeshwa kupiga kura, walihakikisha wanapaza sauti zao zisikike duniani kote.",external_opus,1.0,false,true,OPUS-GlobalVoices/v2018q4/en-sw,"{""corpus"": ""opus_globalvoices"", ""length_ratio"": 0.9, ""glossary_preservation"": 1.0, ""psaish_score"": 1, ""silver"": true, ""human_reviewed"": false, ""auto_qc"": {""auto_qc_pass"": true, ""auto_qc_reasons"": [], ""length_ratio"": 0.9, ""glossary_preservation"": 1.0, ""tgt_lang_detected"": ""sw"", ""confidence"": 1.0}, ""from_file"": ""en_sw_pairs.csv""}",train
