PSA_ID,Domain,English,Kiswahili,Target_Languages,Source,Org,Date,Metadata
PSA_00001,Health,Amref Health Africa – Creating Lasting Health Change in Africa Lasting Health Change In Africa Ebola Outbreak in Africa: Strengthening Africa’s Health Security Health threats do not respect borders.,,{'Kikuyu': None},https://amref.org/,Amref,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00002,Health,"Amref Health Africa shares this conviction: strong community health systems bring services closer to households, while deliberate demand creation ensures communities actively seek, trust, and sustain them.",,{'Kikuyu': None},https://amref.org/position-statements/,Amref,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00003,Health,We do not address procedures in adolescence or adulthood.,,{'Kikuyu': None},https://amref.org/position-statements/,Amref,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00004,Health,Click on the link to view and download a report.,,{'Kikuyu': None},https://amref.org/annual-reports/,Amref,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00005,Governance,"Too much at present is concentrated in Nairobi, although as the Foundation’s headquarters, Nairobi should remain in overall control of policy.",,{'Kikuyu': None},https://amref.org/our-history/founders/,Amref,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00006,Health,"But I should have encouraged greater delegation.” On May 16, 1987 Sir Michael Wood, CBE, MBBS, FRCS, Founder and Director General, died.",,{'Kikuyu': None},https://amref.org/our-history/founders/,Amref,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00007,Health,Amref Health Africa – Creating Lasting Health Change in Africa Lasting Health Change In Africa Ebola Outbreak in Africa: Strengthening Africa’s Health Security Health threats do not respect borders.,,{'Kikuyu': None},https://amref.org,Amref,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00008,Health,"For more information, please visit www.wvi.org or follow us on Twitter @WorldVision .",,{'Kikuyu': None},https://www.wvi.org/about-us/news,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00009,Health,full statement of our core values Our Commitment We recognise that values cannot be legislated; they must be lived.,,{'Kikuyu': None},https://www.wvi.org/about-us/our-vision-and-values,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00010,Health,"In World Vision, we adapt our work to fit local contexts and continually refine and learn to ensure the greatest possible impact for children.",,{'Kikuyu': None},https://www.wvi.org/our-approaches,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00011,Health,"We strive to ensure all children are valued, listened to, included and nurtured within peaceful, reconciled and gender equal families, communities and societies.",,{'Kikuyu': None},https://www.wvi.org/our-approaches,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00012,Health,"It is in these places that we seek to see lives transformed by Jesus Christ as He works through our lives, deeds, words and signs.",,{'Kikuyu': None},https://www.wvi.org/role-faith,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00013,Health,"We cannot achieve our mission on our own; we seek to collaborate with a wide spectrum of partners, supporters and others to transform the lives of children, families and communities.",,{'Kikuyu': None},https://www.wvi.org/role-faith,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00014,Health,Take Action - Pray Pray With Us,,{'Kikuyu': None},https://www.wvi.org/role-faith,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00015,Health,Take action today and become a force for positive change.,,{'Kikuyu': None},https://www.wvi.org/get-involved,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00016,Health,Read through our frequently asked questions below or contact us to find out more.,,{'Kikuyu': None},https://www.wvi.org/about-us/faq,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00017,Health,We are inspired by Christian values and seek for our work to be our testimony to the example set by Jesus Christ.,,{'Kikuyu': None},https://www.wvi.org/about-us/faq,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
